[2015-05-21 01:17:36,885: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:18:06,915: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:18:36,939: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:19:06,964: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:19:36,986: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:20:07,024: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:20:37,105: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:21:07,148: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:21:37,187: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:22:07,205: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:22:37,276: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:23:07,284: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:23:37,309: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:24:07,335: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:24:37,363: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:25:07,394: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:25:37,417: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:26:07,442: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:26:37,446: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:27:07,470: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:27:37,488: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:28:07,511: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:28:37,540: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:29:07,569: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:29:37,587: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:30:07,614: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:30:37,644: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:31:07,661: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:31:37,687: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:32:07,769: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:32:37,792: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:33:07,854: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:33:37,855: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:34:07,882: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:34:37,913: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:35:07,944: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:35:37,969: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:36:07,998: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:36:38,018: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:37:08,028: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:37:38,054: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
